Date,Not indexed,Indexed,Impressions
2025-12-16,,,464
2025-12-17,,,455
2025-12-18,,,466
2025-12-19,,,480
2025-12-20,,,358
2025-12-21,,,382
2025-12-22,,,379
2025-12-23,,,411
2025-12-24,,,365
2025-12-25,,,525
2025-12-26,,,465
2025-12-27,,,392
2025-12-28,,,412
2025-12-29,,,501
2025-12-30,,,593
2025-12-31,,,727
2026-01-01,,,748
2026-01-02,,,747
2026-01-03,,,406
2026-01-04,,,352
2026-01-05,,,267
2026-01-06,,,273
2026-01-07,,,202
2026-01-08,,,241
2026-01-09,,,250
2026-01-10,,,149
2026-01-11,,,142
2026-01-12,,,127
2026-01-13,,,133
2026-01-14,,,134
2026-01-15,,,166
2026-01-16,,,202
2026-01-17,,,113
2026-01-18,,,140
2026-01-19,,,208
2026-01-20,,,217
2026-01-21,,,276
2026-01-22,,,272
2026-01-23,,,290
2026-01-24,,,237
2026-01-25,,,238
2026-01-26,,,239
2026-01-27,,,295
2026-01-28,,,289
2026-01-29,,,314
2026-01-30,,,355
2026-01-31,,,304
2026-02-01,,,295
2026-02-02,,,354
2026-02-03,,,371
2026-02-04,,,476
2026-02-05,,,466
2026-02-06,,,428
2026-02-07,,,284
2026-02-08,,,479
2026-02-09,,,435
2026-02-10,,,391
2026-02-11,,,387
2026-02-12,,,395
2026-02-13,,,507
2026-02-14,,,417
2026-02-15,,,260
2026-02-16,,,340
2026-02-17,,,380
2026-02-18,,,405
2026-02-19,,,662
2026-02-20,,,496
2026-02-21,,,431
2026-02-22,,,494
2026-02-23,,,485
2026-02-24,,,512
2026-02-25,,,656
2026-02-26,,,867
2026-02-27,,,917
2026-02-28,,,684
2026-03-01,,,630
2026-03-02,,,632
2026-03-03,,,823
2026-03-04,,,898
2026-03-05,,,929
2026-03-06,,,1121
2026-03-07,,,1035
2026-03-08,,,986
2026-03-09,861,118,966
2026-03-10,856,123,1055
2026-03-11,856,123,1118
2026-03-12,856,123,1518
2026-03-13,856,123,1137
2026-03-14,856,123,
