Date,Not indexed,Indexed,Impressions
2025-12-15,,,480
2025-12-16,,,464
2025-12-17,,,455
2025-12-18,,,466
2025-12-19,,,480
2025-12-20,,,358
2025-12-21,,,382
2025-12-22,679,384,379
2025-12-23,746,411,411
2025-12-24,746,411,365
2025-12-25,746,411,525
2025-12-26,746,411,465
2025-12-27,746,411,392
2025-12-28,746,411,412
2025-12-29,746,411,501
2025-12-30,746,411,593
2025-12-31,746,411,727
2026-01-01,746,411,748
2026-01-02,746,411,747
2026-01-03,751,406,406
2026-01-04,751,406,352
2026-01-05,751,406,267
2026-01-06,821,359,273
2026-01-07,821,359,202
2026-01-08,821,359,241
2026-01-09,821,359,250
2026-01-10,853,340,149
2026-01-11,853,340,142
2026-01-12,853,340,127
2026-01-13,868,326,133
2026-01-14,868,326,134
2026-01-15,868,326,166
2026-01-16,868,326,202
2026-01-17,862,333,113
2026-01-18,862,333,140
2026-01-19,862,333,208
2026-01-20,860,337,217
2026-01-21,860,337,276
2026-01-22,860,337,272
2026-01-23,860,337,290
2026-01-24,869,328,237
2026-01-25,869,328,238
2026-01-26,869,328,239
2026-01-27,873,324,295
2026-01-28,873,324,289
2026-01-29,873,324,314
2026-01-30,873,324,355
2026-01-31,887,321,304
2026-02-01,887,321,295
2026-02-02,887,321,354
2026-02-03,893,321,371
2026-02-04,893,321,476
2026-02-05,893,321,466
2026-02-06,893,321,428
2026-02-07,906,318,284
2026-02-08,906,318,479
2026-02-09,906,318,435
2026-02-10,896,312,391
2026-02-11,896,312,387
2026-02-12,896,312,395
2026-02-13,896,312,507
2026-02-14,923,300,417
2026-02-15,923,300,260
2026-02-16,923,300,340
2026-02-17,967,288,380
2026-02-18,967,288,405
2026-02-19,967,288,662
2026-02-20,967,288,496
2026-02-21,915,344,431
2026-02-22,915,344,494
2026-02-23,915,344,485
2026-02-24,874,365,512
2026-02-25,874,365,656
2026-02-26,874,365,867
2026-02-27,874,365,917
2026-02-28,874,365,684
2026-03-01,874,365,630
2026-03-02,874,365,632
2026-03-03,926,418,823
2026-03-04,926,418,898
2026-03-05,926,418,929
2026-03-06,926,418,1121
2026-03-07,1561,462,1035
2026-03-08,1561,462,986
2026-03-09,1561,462,966
