Date,Invalid,Valid
2025-12-08,0,11
2025-12-09,0,8
2025-12-10,0,8
2025-12-11,0,40
2025-12-12,0,72
2025-12-13,0,72
2025-12-14,0,45
2025-12-15,0,45
2025-12-16,0,45
2025-12-17,0,45
2025-12-18,0,44
2025-12-19,0,42
2025-12-20,0,39
2025-12-21,0,36
2025-12-22,0,33
2025-12-23,0,32
2025-12-24,0,41
2025-12-25,0,41
2025-12-26,0,41
2025-12-27,0,42
2025-12-28,0,41
2025-12-29,0,41
2025-12-30,0,42
2025-12-31,0,42
2026-01-01,0,35
2026-01-02,0,37
2026-01-03,0,37
2026-01-04,0,39
2026-01-05,0,38
2026-01-06,0,35
2026-01-07,0,32
2026-01-08,0,31
2026-01-09,0,31
2026-01-10,0,0
2026-01-11,0,0
2026-01-12,0,0
2026-01-13,0,0
2026-01-14,0,0
2026-01-15,0,1
2026-01-16,0,3
2026-01-17,0,3
2026-01-18,0,4
2026-01-19,0,4
2026-01-20,0,33
2026-01-21,0,33
2026-01-22,0,33
2026-01-23,0,31
2026-01-24,0,30
2026-01-25,0,30
2026-01-26,0,30
2026-01-27,0,30
2026-01-28,0,30
2026-01-29,0,30
2026-01-30,0,30
2026-01-31,0,30
2026-02-01,0,30
2026-02-02,0,31
2026-02-03,0,31
2026-02-04,0,31
2026-02-05,0,31
2026-02-06,0,31
2026-02-07,0,33
2026-02-08,0,33
2026-02-09,0,33
2026-02-10,0,32
2026-02-11,0,33
2026-02-12,0,33
2026-02-13,0,33
2026-02-14,0,35
2026-02-15,0,35
2026-02-16,0,35
2026-02-17,0,35
2026-02-18,0,35
2026-02-19,0,35
2026-02-20,0,39
2026-02-21,0,38
2026-02-22,0,38
2026-02-23,0,58
2026-02-24,0,56
2026-02-25,0,59
2026-02-26,0,59
2026-02-27,0,57
2026-02-28,0,59
2026-03-01,0,57
2026-03-02,0,46
2026-03-03,0,6
2026-03-04,0,6
2026-03-05,0,6
2026-03-06,0,6
